,id,fecha,gen,mod,memoria,bateria,precio,estado,nombre,scrap_locat,dist_scrap_locat,reservado,url,tiene_color,tiene_emojis,tiene_revisado,comentario
0,1033637778,20250113,15,basic,128,,"857,00",good,apple iphone 15 128gb verde - revisado,madrid,60,False,https://es.wallapop.com/item/apple-iphone-15-128gb-verde-revisado-1033637778,True,True,True,
1,1047634302,20250113,14,basic,128,85.0,"589,00",as_good_as_new,iphone 14 128gb blanco con bateria +85%,madrid,60,False,https://es.wallapop.com/item/iphone-14-128gb-blanco-con-bateria--85-1047634302,True,True,False,
2,1072128027,20250113,14,pro,128,,"599,00",good,iphone 14 pro 128gb,madrid,60,False,https://es.wallapop.com/item/iphone-14-pro-128gb-1072128027,False,False,False,"Detalles del producto
iphone 14 Pro de 128 GB 
No tiene arañazos ni golpes.
Funciona todo perfectamente: táctil, altavoz, micrófono, sonido, faceid, etc...
Todo original
salud de la batería 88%
lo vendo con la caja y con su cable de carga
Estado
Buen estado
Marca
Apple
Modelo
iPhone 14 Pro
Color
Negro
Capacidad de almacenamiento
128 GB"
3,1076184053,20250113,15,plus,128,,"789,00",as_good_as_new,iphone 15 plus 128gb,madrid,60,False,https://es.wallapop.com/item/iphone-15-plus-128gb-1076184053,False,False,False,
4,1079824658,20250113,16,pro,512,,"1300,00",as_good_as_new,iphone 16 pro 512gb,madrid,60,False,https://es.wallapop.com/item/iphone-16-pro-512gb-1079824658,False,False,False,"Detalles del producto
Vendo iphone 16 pro practicamente nuevo, comprado a finales de septiembre online en la app store, color titanio natural, esta impoluto sin marcas ni arañazos, 100% salud de bateria, en su caja otiginal
Estado
Como nuevo
Marca
Apple
Modelo
Iphone 16 pro
Color
Gris
Capacidad de almacenamiento
512 GB"
5,1086519106,20250113,16,basic,256,,"905,00",good,apple iphone 16 256gb,madrid,60,False,https://es.wallapop.com/item/apple-iphone-16-256gb-1086519106,False,False,False,"Detalles del producto
El precio mostrado es el de venta en nuestra tienda. El precio de este producto en nuestra página web puede ser diferente. apple iphone 16 256gb CF001_E30529_0 es un objeto que se ofrece en estado muy bueno. Todos nuestros productos cuentan con garantía de 3 años y un plazo de devolución de 14 días. Memoria ram: 8 | 3g: 5g | Sistema operativo: Ios | Caja original: Si | Pulgadas: 6.1 | Porcentaje de bateria: 100 | Cable cargador: Si | Vida util bateria mayor del 80%: Si | Numero de sim: 1 (simple-sim) | Informacion adicional: Bateria 100% | Capacidad: 256 | Operador: Libre | Marca: Apple | Modelo: Iphone 16 256gb | Megapixels: 4
Estado
Buen estado
Marca
x
Modelo
x
Color
Verde noche"
6,1087488861,20250113,15,basic,,,"750,00",new,iphone 15  verde,madrid,60,False,https://es.wallapop.com/item/iphone-15-verde-1087488861,True,False,False,"Detalles del producto
comoletamente nuevo sin estrenar
Estado
Nuevo
Marca
Apple
Modelo
iPhone 15
Color
Verde
Capacidad de almacenamiento
128 GB"
7,1088399856,20250113,16,basic,512,,"930,00",new,apple iphone 16 512gb nuevo garantia,madrid,60,False,https://es.wallapop.com/item/apple-iphone-16-512gb-nuevo-garantia-1088399856,False,False,False,"Detalles del producto
👇👇👇👇👇👇👇👇
👉NO NEGOCIABLE👈
👆👆👆👆👆👆👆👆

Apple Iphone 16 512gb Black.
nuevo, sin usar
Garantia Apple hasta 14.11.25
Factura
Con caja y cable 
libre

no es reacondicionado
no se ha cambiado ninguna pieza

No negociable, no cambio.
Estado
Nuevo
Marca
Apple
Modelo
Iphone 16
Color
Negro
Capacidad de almacenamiento
512 GB"
8,1089007614,20250113,14,pro max,,,"950,00",new,iphone 14 pro max,madrid,60,False,https://es.wallapop.com/item/iphone-14-pro-max-1089007614,False,False,False,"Detalles del producto
Iphone 14 Pro Max 256gb
Gb: 256
Color: Silver ( Blanco )
Salud Bateria: 97% nunca cambiada 
Telefono en perfectas condiciones no tiene ningun rasguño la bateria esta casi a extrenas cin un 97% siendo la original del telefono, la pantalla incluye protector de pantalla y no tiene ningun toque tanto en pantalla como en chasis del telefono.
Se puede ver y probar.
Prefiero venta en mano.
Estado
Nuevo
Marca
Apple
Modelo
iPhone 14 Pro Max
Color
Blanco
Capacidad de almacenamiento
256 GB"
9,1087736290,20250113,16,pro max,256,100.0,"1203,95",good,iphone 16 pro max 256gb + caja (salud de bateria 100%) titaniun,madrid,60,False,https://es.wallapop.com/item/iphone-16-pro-max-256gb---caja-salud-de-bateria-100-titaniun-1087736290,False,True,False,
