,id,fecha,gen,mod,memoria,bateria,precio,estado,nombre,reservado,url,tiene_color,tiene_emojis,tiene_revisado,comentario
0,1073642029,20241127,15,basic,,,"590,00",as_good_as_new,iphone 15 ,False,https://es.wallapop.com/item/iphone-15-1073642029,False,False,False,
1,1073757376,20241127,15,basic,128,,"599,00",good,iphone 15 128gb negro,False,https://es.wallapop.com/item/iphone-15-128gb-negro-1073757376,True,False,False,
2,1073789336,20241127,15,pro,,,"899,00",new,iphone 15 pro,False,https://es.wallapop.com/item/iphone-15-pro-1073789336,False,False,False,"Vendo iphone 15 pro, color titanio natural.128gb. Reemplazado por apple hace 5 dias. Totalmente nuevo. Con su caja, garantia 2ños. Applecare+ con robo y perdida. 
Solo trato en persona."
3,1073756454,20241127,15,plus,,,"800,00",new,iphone 15 plus a estrenar ,False,https://es.wallapop.com/item/iphone-15-plus-a-estrenar-1073756454,False,False,False,"Vendo iphone 15 plus 256gb , color negro , precintado (tu lo estrenas) . No entrego factura , puedo enseñarla para la verificación del producto sin problema . La garantía se activa encuanto se active por primera vez el telefono . 
NO CAMBIO , ABTENERSE OFERTAS ABSURDAS , NO VAS A ENCONTRAR OTRO A ESTE PRECIO Y SIN ABRIR . Un saludo y buen dia"
4,1073765761,20241127,15,pro,128,,"799,00",good,iphone 15 pro 128gb natural,False,https://es.wallapop.com/item/iphone-15-pro-128gb-natural-1073765761,False,False,False,
5,1073781480,20241127,15,basic,128,,"649,00",as_good_as_new,iphone 15 128gb impecable,False,https://es.wallapop.com/item/iphone-15-128gb-impecable-1073781480,False,False,False,
6,1073703462,20241127,15,plus,,,"720,00",as_good_as_new,iphone 15 plus ,False,https://es.wallapop.com/item/iphone-15-plus-1073703462,False,False,False,
7,1073716209,20241127,15,pro max,256,,"999,00",new,iphone 15 pro max 256 gb nuevo ,False,https://es.wallapop.com/item/iphone-15-pro-max-256-gb-nuevo-1073716209,False,False,False,"Phone 15 Pro Max de 256 gb
Con apenas uso , sin el mas minimo rasguño , con 1 años de garantia y factura 
Se puede probar en persona

( Se aceptan dispositivos como forma de pago )

ℹ️Información dispositivo ℹ️
- ﻿﻿Memoria: 256 Gb
- ﻿﻿Estado del producto: Nuevo = Se incluye:
- ﻿﻿1x IPhone 15 Pro Max 256Gb

👋🏼Entrega presencial en Madrid 
📦Envío por Wallapop o correo certificado 24/48h con seguimiento previo pago por 16,90€ 

✅Vendedor con bastantes reseñas que me avalan y muchísima gente satisfecha , todo los dispositivos se pueden ver y probar ✅"
8,1073756019,20241127,15,pro,128,,"799,00",good,iphone 15 pro 128gb natural,False,https://es.wallapop.com/item/iphone-15-pro-128gb-natural-1073756019,False,False,False,
9,1073000950,20241127,15,pro max,256,,"995,00",new,iphone 15 pro max 256gb reacondicionado,False,https://es.wallapop.com/item/iphone-15-pro-max-256gb-reacondicionado-1073000950,False,False,False,"Vendo Iphone 15 Pro Max 256GB reacondicionado color silver- plata, nuevo sin usar. Me acaba de llegar y lo vendo para comprar el nuevo modelo
Tengo caja del Iphone 15 Pro Max y cable.
🔋Salud de Bateria 100%
✅ Funciona correctamente
🆕 Completamente Nuevo sin usar

PRECIO NEGOCIABLE 
Y VENTA 100% confiable.
Pregunta lo que desees!"
10,1073762896,20241127,15,pro,128,,"849,00",good,iphone 15 pro 128gb titanio azul,False,https://es.wallapop.com/item/iphone-15-pro-128gb-titanio-azul-1073762896,True,False,False,
11,1073775324,20241127,15,pro,128,,"650,00",as_good_as_new,iphone 15 pro 128gb,False,https://es.wallapop.com/item/iphone-15-pro-128gb-1073775324,False,False,False,
12,1064233981,20241127,15,basic,128,,"635,00",new,iphone 15 rosa 128gb nuevo,False,https://es.wallapop.com/item/iphone-15-rosa-128gb-1064233981,True,False,False,"Iphone 15 rosa nuevo.
128GB 
93% salud de batería 🔋 
Viene en su caja y con cargador.
Ante cualquier duda preguntar."
