,id,fecha,gen,mod,memoria,bateria,precio,estado,nombre,scrap_locat,dist_scrap_locat,reservado,url,tiene_color,tiene_emojis,tiene_revisado,comentario,tienda,garantia
0,1033637778,20250126,15,basic,,,"857,00",good,apple iphone 15 128gb verde - revisado,madrid,60,False,https://es.wallapop.com/item/apple-iphone-15-128gb-verde-revisado-1033637778,True,True,True,,,
1,1062144935,20250126,14,pro max,,85,"919,00",as_good_as_new,iphone 14 pro max (128gb) como nuevo,madrid,60,False,https://es.wallapop.com/item/iphone-14-pro-max-128gb-como-nuevo-1062144935,False,True,False,"""Marca: Apple

Modelo: Iphone 14 Pro Max

Capacidad de almacenamiento: 128GB

Color: Plata

Accesorios: incluye cable de carga

🔋 Salud de la batería: +85%

✅ Revisado: funciona correctamente

⭐ LOS MEJOR VALORADOS: 5/5 Estrellas en Google

📦 Envios rápidos a toda España 

✨ El móvil está como nuevo (en apariencia y funcionamiento), impecable! 

🛡 Seguridad y fiabilidad: móvil original de Apple certificado 

🧾 Dispone de factura y 1 año de garantía

📲 (TAMBIÉN DISPONIBLE EN OTROS COLORES Y MEMORIAS)""",False,True
2,1074220444,20250126,15,pro,128,,"749,00",as_good_as_new,iphone 15 pro,madrid,60,False,https://es.wallapop.com/item/iphone-15-pro-1074220444,False,False,False,"Detalles del producto
iPhone 15 Pro azul titanio de 128 Gb.

Se ha usado durante un año, se vende por cambio a iPhone 16 Pro.

Muy bien conservado y cuidado, siempre con funda original la cual se incluye.

Viene con caja y cable cargador USB-C y protector de pantalla para poner.

No me interesan cambios.
Estado
Como nuevo
Marca
Apple
Modelo
iPhone 15 Pro
Color
Azul marino
Capacidad de almacenamiento
128 GB",False,False
3,1088399856,20250126,16,basic,512,,"915,00",new,apple iphone 16 512gb nuevo garantia,madrid,60,False,https://es.wallapop.com/item/apple-iphone-16-512gb-nuevo-garantia-1088399856,False,False,False,"Detalles del producto
👇👇👇👇👇👇👇👇
👉NO NEGOCIABLE👈
👆👆👆👆👆👆👆👆

Apple Iphone 16 512gb Black.
nuevo, sin usar
Garantia Apple hasta 14.11.25
Factura
Con caja y cable 
libre

no es reacondicionado
no se ha cambiado ninguna pieza

No negociable, no cambio.
Estado
Nuevo
Marca
Apple
Modelo
Iphone 16
Color
Negro
Capacidad de almacenamiento
512 GB",True,False
4,1092712959,20250126,16,pro,128,,"970,00",as_good_as_new,iphone 16 pro / 128gb / titanio natural,madrid,60,False,https://es.wallapop.com/item/iphone-16-pro-128gb-titanio-natural-1092712959,True,True,False,"Detalles del producto
Se vende por imprevisto económico. El móvil está en perfecto estado, con funda y protector de pantalla. Aún disponible el Applecare.

//No interesado en cambios//
Estado
Como nuevo
Marca
Apple
Modelo
iPhone 16 Pro
Capacidad de almacenamiento
128 GB",False,True
5,1093147747,20250126,16,basic,,,"823,95",good,movil iphone 16 128gb 100% bateria + caja + funda,madrid,60,False,https://es.wallapop.com/item/movil-iphone-16-128gb-100-bateria---caja---funda-1093147747,False,True,False,,,
6,1093738580,20250126,15,pro,128,100,"880,00",new,iphone 15 pro 128 gb ,madrid,60,False,https://es.wallapop.com/item/iphone-15-pro-128-gb-1093738580,False,False,False,"Detalles del producto
IPHONE 15 PRO 128 GB🔥

35 CICLOS NUEVO✅📲

estado: el telefono dispone de 100% de la durabilidad de la bateria, todo piezas originales✅, movil sin abrir🪛, con face id y true trone totalmente funcionales, ademas de las camaras📸, altavoces🔊, y microfonos🎙️.✅

TOTALMENTE LIBRE DE ICLOUD🔓

estado estetico: 10/10✅

Que trae consigo el dispositivo: cable de carga 1 m, y una funda macshafe de regalo.✅

precio negociable hasta: FIJO🔍
NO CONTESTO A NADIE QUE NEGOCIE

cualquier duda chat📲

RECOGIDA: Calle planeta saturno 1
disponible 24H✅📞
Estado
Nuevo
Marca
Apple
Modelo
iPhone 15 Pro
Color
Gris
Capacidad de almacenamiento
128 GB",False,False
7,1093775883,20250126,14,basic,,,"400,00",good,iphone 14,madrid,60,False,https://es.wallapop.com/item/iphone-14-1093775883,False,False,False,not found,False,False
8,1093949520,20250126,14,pro,128,100,"800,00",new,iphone 14 pro space black 128gb nuevo,madrid,60,False,https://es.wallapop.com/item/iphone-14-pro-space-black-128gb-1093949520,False,False,False,"Detalles del producto
Iphone 14 Pro nuevo, recien entregado por AppleCare, por eso está totalmente nuevo pero no precintado.

Incluye la caja y el cable original usado.

Cualquier duda me puedes preguntar.

Detalles tecnicos:
 • Marca: Apple
 • Modelo: iPhone 14 Pro
 • Capacidad de almacenamiento: 128Gb
 • Color: Space Black
 • Salud de la batería: 100%, el dispositivo es nuevo
 • Accesorios: Cable original usado
Estado
Nuevo
Marca
Apple
Modelo
iPhone 14 Pro
Color
Negro
Capacidad de almacenamiento
128 GB",False,False
9,1093658943,20250126,16,pro max,,,"1303,95",good,iphone 16 pro max 256gb bateria 100% natural titanium + caja + cable,madrid,60,False,https://es.wallapop.com/item/iphone-16-pro-max-256gb-bateria-100-natural-titanium---caja---cable-1093658943,False,True,False,,,
10,1093747938,20250126,14,pro,128,90,"625,00",good,iphone 14 pro,madrid,60,False,https://es.wallapop.com/item/iphone-14-pro-1093747938,False,False,False,"Detalles del producto
iphone 14 Pro
color gris con 128gb de almacenamiento.
lo entrego con caja y cargador,
unico propietario.
capacidad de bateria 90%.
Estado
Buen estado
Marca
Apple
Modelo
iPhone 14 Pro
Color
Gris espacial
Capacidad de almacenamiento
128 GB",False,False
