,id,fecha,gen,mod,memoria,bateria,precio,estado,nombre,scrap_locat,dist_scrap_locat,reservado,url,tiene_color,tiene_emojis,tiene_revisado,comentario,tienda,garantia
0,1033637533,20250119,14,basic,,,"615,37",good,apple iphone 14 128gb amarillo - revisado,madrid,60,False,https://es.wallapop.com/item/apple-iphone-14-128gb-amarillo-revisado-1033637533,True,True,True,,,
1,1063422200,20250119,15,basic,,,"600,00",as_good_as_new,iphone 15 verde 128gb 100 de batería,madrid,60,False,https://es.wallapop.com/item/iphone-15-verde-128gb-100-bateria-1063422200,True,False,False,,,
2,1076524439,20250119,14,plus,128,95,"679,00",as_good_as_new,iphone 14 plus,madrid,60,False,https://es.wallapop.com/item/iphone-14-plus-1076524439,False,False,False,"Detalles del producto
Iphone 14 plus de 128gb
Salud de bateria 95% .
Funciona todo, tiene todo original nunca ha sido reparado.
En la pantalla no tiene ninguno rallo, con la pantalla encendida casi no se nota.
Entrega en mano en madrid calle Oca, 70(MOBILE BAZAR), no hago envios.
Estado
Como nuevo
Marca
Apple
Modelo
iPhone 14 Plus
Color
Plateado
Capacidad de almacenamiento
128 GB",False,False
3,1084422873,20250119,15,pro max,256,,"850,00",good,iphone 15 pro max,madrid,60,False,https://es.wallapop.com/item/iphone-15-pro-max-1084422873,False,False,False,"Detalles del producto
Vendo iPhone 15 Pro Max Americano
comprado en el Apple store de la quinta avenida en New york. Especifico esto por que el movil no tiene ranura para meter la sim ya que es sim digital (QR) todos los moviles comprados en Estados unidos apartir del 15 vienen asi. 
el movil esta perfectamente cuidado
-Caja y Cable
-Fundas (opcional) 
-Factura
-Unico dueño
-Solo venta en persona
-Precio no negociable
Estado
Buen estado
Marca
Apple
Modelo
Iphone 15 pro max
Color
Gris
Capacidad de almacenamiento
256 GB",False,False
4,1089168015,20250119,16,basic,256,,"850,00",as_good_as_new,iphone 16 256gb rosa,madrid,60,False,https://es.wallapop.com/item/iphone-16-256gb-rosa-1089168015,True,False,False,"Detalles del producto
iPhone 16 con un pequeño rasguño en el lateral del teléfono. Apenas visible, ver foto adjunta.

Solo recogida en persona.
Estado
Como nuevo
Marca
Apple
Modelo
Iphone 16
Color
Rosa
Capacidad de almacenamiento
256 GB",False,False
5,1089964739,20250119,15,pro,128,99,"820,00",new,iphone 15 pro ,madrid,60,False,https://es.wallapop.com/item/iphone-15-pro-1089964739,False,False,False,"Detalles del producto
SOLO ESTA DOMINGO !!📲

IPHONE 15 PRO 128 GB🔥

estado: el telefono dispone de 99% de la durabilidad de la bateria, todo piezas originales✅, movil sin abrir🪛, con face id y true trone totalmente funcionales, ademas de las camaras📸, altavoces🔊, y microfonos🎙️.✅

TOTALMENTE LIBRE DE ICLOUD🔓

estado estetico: 10/10✅

Que trae consigo el dispositivo: cable de carga 2 m, y una funda macshafe de regalo.✅

precio negociable hasta: FIJO🔍

cualquier duda chat📲

RECOGIDA: Calle planeta saturno 1
disponible 24H✅📞
Estado
Nuevo
Marca
Apple
Modelo
iPhone 15 Pro
Color
Gris espacial
Capacidad de almacenamiento
128 GB",False,False
6,1090845719,20250119,16,basic,128,,"700,00",new,iphone 16 128gb,madrid,60,False,https://es.wallapop.com/item/iphone-16-128gb-1090845719,False,False,False,"Detalles del producto
Vendo iphone 16 nuevo esta impoluto . no tiene uso se abrio sin querer. 
Tiene garantia oficial de apple en vigor.
Estado
Nuevo
Marca
Apple
Modelo
Iphone 16
Color
Negro
Capacidad de almacenamiento
128 GB",False,True
7,1091115353,20250119,16,basic,128,,"799,90",good,smartphone iphone 16 128 gb,madrid,60,False,https://es.wallapop.com/item/smartphone-iphone-16-128-gb-1091115353,False,False,False,"Detalles del producto
Smartphone Iphone 16 128 GB Incluye Cable de carga.(Arañazo profundo parte superior )

🏪 Somos tiendas 
📦 Envíos nacionales (Exc. Canarias, Ceuta y Melilla) 
☎️ 968 069 576 

Ref:7-74809
Estado
Buen estado
Marca
x
Modelo
x
Color
Verde noche",True,False
8,1091510132,20250119,14,pro,256,100,"669,00",new,iphone 14 pro 256gb esim impecable,madrid,60,False,https://es.wallapop.com/item/iphone-14-pro-256gb-esim-impecable-1091510132,False,False,False,"Detalles del producto
Modelo: Iphone 14 PRO. Capacidad de almacenamiento: 256 GB. Color: Gris. Accesorios: incluye cable de carga y enchufe (cargador). 🔋 Salud de la batería: +100% ✅ Revisado: funciona correctamente Precio no negociable. Entrego cargador. Entrego caja. No entrego factura. Entrego por zona Mendez Alvaro.
Estado
Nuevo
Marca
Apple
Modelo
iPhone 14 Pro
Color
Gris espacial
Capacidad de almacenamiento
256 GB",False,True
9,1091097178,20250119,16,basic,128,,"799,90",good,smartphone iphone 16 128 gb,madrid,60,False,https://es.wallapop.com/item/smartphone-iphone-16-128-gb-1091097178,False,False,False,"Detalles del producto
Smartphone Iphone 16 128 GB Incluye Cable de carga.(Arañazo profundo parte superior )

🏪 Somos tiendas 
📦 Envíos nacionales (Exc. Canarias, Ceuta y Melilla) 
☎️ 961 485 857 

Ref:7-74809
Estado
Buen estado
Marca
x
Modelo
x
Color
Verde noche",True,False
